"","storm_number","storm_name","typea","datesb_utc","max_winds_kt","min_pressure_mb","accumulated_cyclone_energyc_x104_kt2","direct_deathsd","u_s_damagee_million","tropical_cyclone_report_status","year","basin","source"
"35",4,"Andrew","MH","16 Aug–28 Aug",150,922,28.4,NA,NA,NA,1992,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=atl"
"36",5,"Bonnie","HU","17 Sep–30 Sep",95,965,23.1,NA,NA,NA,1992,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=atl"
"37",6,"Charley","HU","21 Sep–27 Sep",95,965,10.9,NA,NA,NA,1992,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=atl"
"38",7,"Danielle","TS","22 Sep–26 Sep",55,1001,2.9,NA,NA,NA,1992,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=atl"
"39",8,"Unnamed","TD","25 Sep–01 Oct",30,NA,0,NA,NA,NA,1992,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=atl"
"40",9,"Earl","TS","26 Sep–03 Oct",55,990,3.3,NA,NA,NA,1992,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=atl"
"41",10,"Frances","HU","23 Oct–27 Oct",75,976,6.5,NA,NA,NA,1992,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=atl"
"42",1,"Agatha","TS","01 Jun–05 Jun",60,990,3.1,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"43",2,"Unnamed","TD","16 Jun–18 Jun",30,NA,0,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"44",3,"Blas","TS","22 Jun–23 Jun",35,1004,0.4,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"45",4,"Celia","MH","22 Jun–04 Jul",125,935,26.9,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"46",5,"Darby","MH","02 Jul–10 Jul",105,968,11.5,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"47",6,"Estelle","MH","09 Jul–17 Jul",120,943,18.7,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"48",7,"Frank","MH","13 Jul–23 Jul",125,935,26,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"49",8,"Georgette","HU","14 Jul–26 Jul",95,964,20.8,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"50",9,"Howard","TS","26 Jul–30 Jul",55,992,2.8,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"51",10,"Isis","TS","28 Jul–02 Aug",55,992,3.2,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"52",11,"Javier","HU","30 Jul–12 Aug",70,985,6.9,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"53",12,"Unnamed","TD","10 Aug–13 Aug",30,NA,0,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"54",13,"Kay","TS","18 Aug–22 Aug",45,1000,1.6,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"55",14,"Lester","HU","20 Aug–24 Aug",70,985,3.9,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"56",15,"Madeline","TS","27 Aug–31 Aug",45,999,1.8,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"57",16,"Newton","TS","27 Aug–31 Aug",45,999,2.1,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"58",17,"Orlene","MH","02 Sep–14 Sep",125,934,32.4,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"59",18,"Iniki","MH^","05 Sep–13 Sep",125,938,0,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"60",19,"Paine","HU","11 Sep–16 Sep",65,987,5.6,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"61",20,"Roslyn","HU","13 Sep–30 Sep",85,975,12.5,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"62",21,"Seymore","HU","17 Sep–27 Sep",75,980,9.8,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"63",22,"Tina","MH","17 Sep–11 Oct",130,932,47.7,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"64",23,"Virgil","MH","01 Oct–05 Oct",115,948,8,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"65",24,"Winifred","MH","06 Oct–10 Oct",100,960,6,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"66",25,"Xavier","TS","13 Oct–15 Oct",40,1003,0.4,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"67",26,"Yolanda","TS","15 Oct–22 Oct",55,993,4,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"68",27,"Zeke","TS","25 Oct–30 Oct",45,1000,2,NA,NA,NA,1992,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=epac"
"69",1,"Ekeka","MH","26 Jan–09 Feb",100,NA,13.4,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"70",2,"Hali","TS","28 Mar–30 Mar",45,NA,0.6,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"71",7,"Frank","MH^","13 Jul–23 Jul",125,935,0.5,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"72",8,"Georgette","HU^","14 Jul–26 Jul",95,964,0,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"73",11,"Javier","HU^","30 Jul–12 Aug",70,985,0.6,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"74",15,"Madeline","TS^","27 Aug–31 Aug",45,999,0,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"75",17,"Orlene","MH^","02 Sep–14 Sep",125,934,0.2,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"76",18,"Iniki","MH","05 Sep–13 Sep",125,938,16.5,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"77",20,"Roslyn","HU^","13 Sep–30 Sep",85,975,4.8,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"78",22,"Tina","MH^","17 Sep–11 Oct",130,932,0,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"79",26,"Yolanda","TS^","15 Oct–22 Oct",55,993,0,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"80",3,"Unnamed","TD","22 Nov–23 Nov",30,NA,0,NA,NA,NA,1992,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1992&basin=cpac"
"81",1,"One","TD","31 May–02 Jun",30,999,0,NA,NA,NA,1993,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=atl"
"82",2,"Arlene","TS","18 Jun–21 Jun",35,1000,0.5,NA,NA,NA,1993,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=atl"
"83",3,"Bret","TS","04 Aug–11 Aug",50,1002,3.9,NA,NA,NA,1993,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=atl"
