"","storm_number","storm_name","typea","datesb_utc","max_winds_kt","min_pressure_mb","accumulated_cyclone_energyc_x104_kt2","direct_deathsd","u_s_damagee_million","tropical_cyclone_report_status","year","basin","source"
"345",11,"Ileana","TS","13 Aug–17 Aug",60,991,2.8,NA,NA,NA,2000,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=epac"
"346",12,"John","TS^","28 Aug–01 Sep",60,994,1.5,NA,NA,NA,2000,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=epac"
"347",13,"Kristy","TS","31 Aug–03 Sep",35,1004,0.4,NA,NA,NA,2000,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=epac"
"348",14,"Lane","HU","05 Sep–14 Sep",85,967,11.3,NA,NA,NA,2000,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=epac"
"349",15,"Miriam","TS","15 Sep–17 Sep",35,1004,0.2,NA,NA,NA,2000,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=epac"
"350",16,"Norman","TS","20 Sep–22 Sep",45,998,0.5,NA,NA,NA,2000,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=epac"
"351",17,"Olivia","TS","02 Oct–10 Oct",55,994,5.6,NA,NA,NA,2000,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=epac"
"352",18,"Paul","TS","25 Oct–29 Oct",40,1003,0.8,NA,NA,NA,2000,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=epac"
"353",19,"Rosa","TS","03 Nov–08 Nov",55,993,2.9,NA,NA,NA,2000,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=epac"
"354",1,"Upana","TS","20 Jul–24 Jul",40,NA,1.1,NA,NA,NA,2000,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=cpac"
"355",6,"Daniel","MH^","23 Jul–05 Aug",110,954,6.3,NA,NA,NA,2000,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=cpac"
"356",2,"Wene","TS","16 Aug–17 Aug",45,NA,1,NA,NA,NA,2000,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=cpac"
"357",12,"John","TS","28 Aug–01 Sep",60,994,2,NA,NA,NA,2000,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2000&basin=cpac"
"358",1,"Allison","TS","05 Jun–17 Jun",50,1000,1.3,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"359",2,"Two","TD","11 Jul–12 Jul",25,1010,0,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"360",3,"Barry","TS","02 Aug–07 Aug",60,990,2.5,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"361",4,"Chantal","TS","14 Aug–22 Aug",60,997,4.6,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"362",5,"Dean","TS","22 Aug–28 Aug",60,994,2.9,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"363",6,"Erin","MH","01 Sep–15 Sep",105,968,20.1,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"364",7,"Felix","MH","07 Sep–19 Sep",100,962,15.2,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"365",8,"Gabrielle","HU","11 Sep–19 Sep",70,975,6.6,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"366",9,"Nine","TD","19 Sep–20 Sep",30,1005,0,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"367",10,"Humberto","HU","21 Sep–27 Sep",90,970,9.9,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"368",11,"Iris","MH","04 Oct–09 Oct",125,948,10,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"369",12,"Jerry","TS","06 Oct–08 Oct",45,1004,1.2,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"370",13,"Karen","HU","12 Oct–15 Oct",70,982,5.1,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"371",14,"Lorenzo","TS","27 Oct–31 Oct",35,1007,0.7,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"372",15,"Michelle","MH","29 Oct–05 Nov",120,933,15.7,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"373",16,"Noel","HU","04 Nov–06 Nov",65,986,3,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"374",17,"Olga","HU","24 Nov–04 Dec",80,973,11.1,NA,NA,NA,2001,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=atl"
"375",1,"Unnamed","MH","25 May–01 Jun",125,940,18.5,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"376",2,"Unnamed","TS","20 Jun–26 Jun",50,997,1.4,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"377",3,"Unnamed","TS","13 Jul–15 Jul",40,1000,0.7,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"378",4,"Unnamed","TS","20 Jul–24 Jul",35,1001,0.9,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"379",5,"Unnamed","HU","21 Jul–28 Jul",65,987,7.7,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"380",6,"Unnamed","TD","22 Aug–24 Aug",30,1007,0,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"381",7,"Unnamed","HU","26 Aug–02 Sep",90,972,9.7,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"382",8,"Unnamed","HU","04 Sep–09 Sep",85,975,7.5,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"383",9,"Unnamed","TS","04 Sep–08 Sep",55,994,2.6,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"384",10,"Unnamed","TS","10 Sep–15 Sep",45,997,1.9,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"385",11,"Unnamed","MH","21 Sep–03 Oct",125,923,24.8,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"386",12,"Unnamed","HU","21 Sep–25 Sep",65,990,3,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"387",13,"Unnamed","TS","02 Oct–04 Oct",50,997,1.4,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"388",14,"Unnamed","TD","03 Oct–04 Oct",30,1008,0,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"389",15,"Unnamed","TS","10 Oct–18 Oct",50,997,2.5,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"390",16,"Unnamed","HU","20 Oct–25 Oct",75,980,4.1,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"391",17,"Unnamed","HU","31 Oct–03 Nov",75,980,3.9,NA,NA,NA,2001,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=epac"
"392",2,"Unnamed","TS^","20 Jun–26 Jun",50,997,0,NA,NA,NA,2001,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=cpac"
"393",1,"Unnamed","TD","10 Sep–11 Sep",30,1005,0,NA,NA,NA,2001,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=cpac"
"394",2,"Unnamed","TS","22 Sep–25 Sep",35,1008,0.1,NA,NA,NA,2001,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=cpac"
"395",16,"Unnamed","HU^","20 Oct–25 Oct",75,980,0,NA,NA,NA,2001,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2001&basin=cpac"
"396",1,"Arthur","TS","14 Jul–16 Jul",50,997,1.5,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"397",2,"Bertha","TS","04 Aug–09 Aug",35,1007,0.2,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"398",3,"Cristobal","TS","05 Aug–08 Aug",45,999,1.6,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"399",4,"Dolly","TS","29 Aug–04 Sep",50,997,3.9,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"400",5,"Edouard","TS","01 Sep–06 Sep",55,1002,1.8,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"401",6,"Fay","TS","05 Sep–08 Sep",50,998,1.3,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"402",7,"Seven","TD","07 Sep–08 Sep",30,1013,0,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"403",8,"Gustav","HU","08 Sep–12 Sep",85,960,4.8,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"404",9,"Hannah","TS","12 Sep–15 Sep",50,1001,1.8,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"405",10,"Isidore","MH","14 Sep–27 Sep",110,934,17.8,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"406",11,"Josephine","TS","17 Sep–19 Sep",35,1009,0.6,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"407",12,"Kyle","HU","20 Sep–12 Oct",75,980,15.5,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"408",13,"Lili","MH","21 Sep–04 Oct",125,938,16.5,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"409",14,"Fourteen","TD","14 Oct–16 Oct",30,1002,0,NA,NA,NA,2002,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=atl"
"410",1,"Unnamed","MH","24 May–01 Jun",100,960,10.3,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"411",2,"Unnamed","TS","08 Jun–11 Jun",50,997,1.4,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"412",3,"Unnamed","TD","27 Jun–29 Jun",30,1006,0,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"413",4,"Unnamed","TS","09 Jul–16 Jul",55,994,2.5,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"414",5,"Unnamed","HU","20 Jul–26 Jul",90,970,9.3,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"415",6,"Unnamed","MH","23 Jul–30 Jul",140,921,18.1,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"416",7,"Unnamed","TD","06 Aug–08 Aug",30,1008,0,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"417",8,"Unnamed","MH","21 Aug–03 Sep",125,936,16.6,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"418",9,"Unnamed","TS","26 Aug–01 Sep",60,989,3.6,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"419",10,"Unnamed","MH","30 Aug–06 Sep",140,921,20,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"420",11,"Unnamed","TD","05 Sep–08 Sep",30,1006,0,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"421",12,"Unnamed","TS","15 Sep–20 Sep",60,990,3.2,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"422",13,"Unnamed","TS","25 Sep–26 Sep",40,1000,0.6,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"423",14,"Unnamed","MH","22 Oct–26 Oct",145,913,14.2,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"424",15,"Unnamed","TS^","22 Oct–31 Oct",45,1002,0.9,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"425",16,"Unnamed","TD","14 Nov–16 Nov",30,1006,0,NA,NA,NA,2002,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=epac"
"426",8,"Unnamed","MH^","21 Aug–03 Sep",125,936,0.7,NA,NA,NA,2002,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=cpac"
"427",1,"Unnamed","TS","21 Aug–28 Aug",55,995,1.7,NA,NA,NA,2002,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=cpac"
"428",2,"Unnamed","MH","25 Aug–30 Aug",110,945,7.2,NA,NA,NA,2002,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=cpac"
"429",15,"Unnamed","TS","22 Oct–31 Oct",45,1002,1.1,NA,NA,NA,2002,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=cpac"
"430",3,"Unnamed","HU","23 Oct–03 Nov",75,980,12.9,NA,NA,NA,2002,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2002&basin=cpac"
"431",1,"Ana","TS","20 Apr–24 Apr",50,994,3.2,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"432",2,"Two","TD","11 Jun–11 Jun",30,1008,0,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"433",3,"Bill","TS","29 Jun–02 Jul",50,997,1.4,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"434",4,"Claudette","HU","08 Jul–17 Jul",80,979,9.2,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"435",5,"Danny","HU","16 Jul–21 Jul",65,1000,4.6,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"436",6,"Six","TD","19 Jul–21 Jul",30,1010,0,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"437",7,"Seven","TD","25 Jul–27 Jul",30,1016,0,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"438",8,"Erika","HU","14 Aug–17 Aug",65,986,2.1,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"439",9,"Nine","TD","21 Aug–22 Aug",30,1007,0,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"440",10,"Fabian","MH","27 Aug–08 Sep",125,939,43.2,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"441",11,"Grace","TS","30 Aug–02 Sep",35,1007,0.5,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"442",12,"Henri","TS","03 Sep–08 Sep",50,997,0.5,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"443",13,"Isabel","MH","06 Sep–19 Sep",145,915,63.3,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"444",14,"Fourteen","TD","08 Sep–10 Sep",30,1007,0,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"445",15,"Juan","HU","24 Sep–29 Sep",90,969,9.4,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"446",16,"Kate","MH","25 Sep–07 Oct",110,952,21.9,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"447",17,"Larry","TS","01 Oct–06 Oct",55,993,4.1,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"448",18,"Mindy","TS","10 Oct–14 Oct",40,1002,0.8,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"449",19,"Nicholas","TS","13 Oct–23 Oct",60,990,7.3,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"450",20,"Odette","TS","04 Dec–07 Dec",55,993,2.8,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"451",21,"Peter","TS","07 Dec–11 Dec",60,990,2.1,NA,NA,NA,2003,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=atl"
"452",1,"Unnamed","TS","19 May–25 May",50,997,4.1,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"453",2,"Unnamed","TS","17 Jun–22 Jun",50,997,2.2,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"454",3,"Unnamed","TS","26 Jun–27 Jun",55,996,0.8,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"455",4,"Unnamed","TS","06 Jul–08 Jul",35,1005,0.2,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"456",5,"Unnamed","TS","10 Jul–13 Jul",55,993,2.1,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"457",6,"Unnamed","TS","17 Jul–23 Jul",45,1000,1.2,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"458",7,"Unnamed","TS","07 Aug–12 Aug",50,997,2.7,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"459",8,"Unnamed","TS","09 Aug–13 Aug",35,1004,0.9,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"460",9,"Unnamed","HU","22 Aug–27 Aug",90,970,6.7,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"461",10,"Unnamed","HU^","28 Aug–05 Sep",90,970,3.3,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"462",11,"Unnamed","TS","03 Sep–06 Sep",35,1000,0.1,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"463",12,"Unnamed","HU","13 Sep–17 Sep",65,987,2.8,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"464",13,"Unnamed","HU","18 Sep–24 Sep",85,970,6.1,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"465",14,"Unnamed","HU","01 Oct–09 Oct",90,969,8.8,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"466",15,"Unnamed","HU","03 Oct–08 Oct",65,987,4,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"467",16,"Unnamed","HU","20 Oct–26 Oct",70,984,4.5,NA,NA,NA,2003,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=epac"
"468",1,"Unnamed","TS^","19 May–25 May",50,997,0,NA,NA,NA,2003,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=cpac"
"469",6,"Unnamed","TS^","17 Jul–23 Jul",45,1000,0,NA,NA,NA,2003,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=cpac"
"470",7,"Unnamed","TS^","07 Aug–12 Aug",50,997,0,NA,NA,NA,2003,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=cpac"
"471",1,"Unnamed","TD","11 Aug–17 Aug",30,1009,0,NA,NA,NA,2003,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=cpac"
"472",10,"Unnamed","HU","28 Aug–05 Sep",90,970,6,NA,NA,NA,2003,"Central Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2003&basin=cpac"
"473",1,"Alex","MH","31 Jul–06 Aug",105,957,11.4,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"474",2,"Bonnie","TS","03 Aug–13 Aug",55,1001,2.6,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"475",3,"Charley","MH","09 Aug–14 Aug",130,941,10.6,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"476",4,"Danielle","HU","13 Aug–21 Aug",95,964,12.1,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"477",5,"Earl","TS","13 Aug–15 Aug",45,1009,0.8,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"478",6,"Frances","MH","25 Aug–08 Sep",125,935,45.9,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"479",7,"Gaston","HU","27 Aug–01 Sep",65,985,2.7,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"480",8,"Hermine","TS","27 Aug–31 Aug",50,1002,1.3,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"481",9,"Ivan","MH","02 Sep–24 Sep",145,910,70.4,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"482",10,"Ten","TD","07 Sep–09 Sep",30,1009,0,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"483",11,"Jeanne","MH","13 Sep–28 Sep",105,950,24.2,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"484",12,"Karl","MH","16 Sep–24 Sep",125,938,28.4,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"485",13,"Lisa","HU","19 Sep–03 Oct",65,987,12.2,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"486",14,"Matthew","TS","08 Oct–10 Oct",40,997,1,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"487",15,"Nicole","SS","10 Oct–11 Oct",45,986,1.2,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"488",16,"Otto","TS","29 Nov–03 Dec",45,995,1.9,NA,NA,NA,2004,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=atl"
"489",1,"Unnamed","TS","22 May–24 May",50,997,1.1,NA,NA,NA,2004,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=epac"
"490",2,"Unnamed","TD","02 Jul–03 Jul",30,1007,0,NA,NA,NA,2004,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=epac"
"491",3,"Unnamed","TS","12 Jul–15 Jul",55,991,1.6,NA,NA,NA,2004,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=epac"
"492",4,"Unnamed","HU","19 Jul–25 Jul",75,981,5.1,NA,NA,NA,2004,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=epac"
"493",5,"Unnamed","MH","26 Jul–01 Aug",105,957,9,NA,NA,NA,2004,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=epac"
"494",6,"Unnamed","TD","01 Aug–02 Aug",25,1008,0,NA,NA,NA,2004,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=epac"
"495",7,"Unnamed","TS^","19 Aug–24 Aug",60,989,0.8,NA,NA,NA,2004,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=2004&basin=epac"
